"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"61","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","68","Local variable 'b' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"62","tp.pmd","src/main/java/tp/pmd/Fenetre.java","3","76","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"63","tp.pmd","src/main/java/tp/pmd/Grille.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"64","tp.pmd","src/main/java/tp/pmd/Grille.java","3","15","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"65","tp.pmd","src/main/java/tp/pmd/Grille.java","3","16","Avoid variables with short names like a","Naming Rules","ShortVariable"
"66","tp.pmd","src/main/java/tp/pmd/Grille.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"67","tp.pmd","src/main/java/tp/pmd/Grille.java","3","18","Avoid variables with short names like a","Naming Rules","ShortVariable"
"68","tp.pmd","src/main/java/tp/pmd/Grille.java","3","18","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"69","tp.pmd","src/main/java/tp/pmd/Grille.java","3","18","Parameter 'a' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"70","tp.pmd","src/main/java/tp/pmd/Grille.java","3","22","Avoid variables with short names like g","Naming Rules","ShortVariable"
"71","tp.pmd","src/main/java/tp/pmd/Grille.java","3","22","Parameter 'g' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"72","tp.pmd","src/main/java/tp/pmd/Grille.java","3","46","Avoid variables with short names like b","Naming Rules","ShortVariable"
"73","tp.pmd","src/main/java/tp/pmd/Grille.java","3","46","Avoid variables with short names like g","Naming Rules","ShortVariable"
"74","tp.pmd","src/main/java/tp/pmd/Grille.java","3","46","Parameter 'b' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"75","tp.pmd","src/main/java/tp/pmd/Grille.java","3","46","Parameter 'g' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"76","tp.pmd","src/main/java/tp/pmd/Grille.java","3","48","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"77","tp.pmd","src/main/java/tp/pmd/Planete.java","3","7","Avoid variables with short names like G","Naming Rules","ShortVariable"
"78","tp.pmd","src/main/java/tp/pmd/Planete.java","3","7","The field name indicates a constant but its modifiers do not","Naming Rules","SuspiciousConstantFieldName"
"79","tp.pmd","src/main/java/tp/pmd/Planete.java","1","7","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"80","tp.pmd","src/main/java/tp/pmd/Planete.java","3","8","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"81","tp.pmd","src/main/java/tp/pmd/Planete.java","3","8","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"82","tp.pmd","src/main/java/tp/pmd/Planete.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"83","tp.pmd","src/main/java/tp/pmd/Planete.java","3","10","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"84","tp.pmd","src/main/java/tp/pmd/Planete.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"85","tp.pmd","src/main/java/tp/pmd/Planete.java","3","11","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"86","tp.pmd","src/main/java/tp/pmd/Planete.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"87","tp.pmd","src/main/java/tp/pmd/Planete.java","3","12","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"88","tp.pmd","src/main/java/tp/pmd/Planete.java","3","14","Parameter 'acc' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"89","tp.pmd","src/main/java/tp/pmd/Planete.java","3","14","Parameter 'masse' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"90","tp.pmd","src/main/java/tp/pmd/Planete.java","3","14","Parameter 'vitesse' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"91","tp.pmd","src/main/java/tp/pmd/Planete.java","3","23","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"92","tp.pmd","src/main/java/tp/pmd/Planete.java","3","25","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"93","tp.pmd","src/main/java/tp/pmd/Planete.java","3","33","Avoid variables with short names like a","Naming Rules","ShortVariable"
"94","tp.pmd","src/main/java/tp/pmd/Planete.java","3","33","Avoid variables with short names like x","Naming Rules","ShortVariable"
"95","tp.pmd","src/main/java/tp/pmd/Planete.java","3","33","Avoid variables with short names like y","Naming Rules","ShortVariable"
"96","tp.pmd","src/main/java/tp/pmd/Planete.java","3","33","Parameter 'a' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"97","tp.pmd","src/main/java/tp/pmd/Planete.java","3","33","Parameter 'x' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"98","tp.pmd","src/main/java/tp/pmd/Planete.java","3","36","Avoid variables with short names like v","Naming Rules","ShortVariable"
"99","tp.pmd","src/main/java/tp/pmd/Planete.java","3","36","Local variable 'v' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"100","tp.pmd","src/main/java/tp/pmd/Vecteur.java","3","5","Avoid variables with short names like x","Naming Rules","ShortVariable"
"101","tp.pmd","src/main/java/tp/pmd/Vecteur.java","3","5","Avoid variables with short names like y","Naming Rules","ShortVariable"
"102","tp.pmd","src/main/java/tp/pmd/Vecteur.java","3","5","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"103","tp.pmd","src/main/java/tp/pmd/Vecteur.java","3","5","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"104","tp.pmd","src/main/java/tp/pmd/Vecteur.java","3","5","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"105","tp.pmd","src/main/java/tp/pmd/Vecteur.java","3","7","Avoid variables with short names like x","Naming Rules","ShortVariable"
"106","tp.pmd","src/main/java/tp/pmd/Vecteur.java","3","7","Avoid variables with short names like y","Naming Rules","ShortVariable"
"107","tp.pmd","src/main/java/tp/pmd/Vecteur.java","3","7","Parameter 'x' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"108","tp.pmd","src/main/java/tp/pmd/Vecteur.java","3","7","Parameter 'y' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"109","demo.junit","src/test/java/demo/junit/PairImpairTest.java","4","3","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"110","demo.junit","src/test/java/demo/junit/PairImpairTest.java","3","15","Local variable 'petiteListe' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"111","demo.junit","src/test/java/demo/junit/PairImpairTest.java","3","19","Avoid variables with short names like pi","Naming Rules","ShortVariable"
"112","demo.junit","src/test/java/demo/junit/PairImpairTest.java","3","19","Local variable 'pi' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"113","demo.junit","src/test/java/demo/junit/PairImpairTest.java","3","21","Local variable 'nbPairs' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"114","demo.junit","src/test/java/demo/junit/PairImpairTest.java","3","22","Local variable 'nbImpairs' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"115","demo.junit","src/test/java/demo/junit/PairImpairTest.java","3","24","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"116","demo.junit","src/test/java/demo/junit/PairImpairTest.java","3","25","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
